time_s,frame,direction,phase,speed,detected_color,active_color,avoidance_stage,x_center,y_center,object_angle,raw_wall_angle,wall_servo,servo_command,is_corner,blue_visible,orange_visible,quarter_count,lap_count,total_quarters,obstacles_locked,obstacles_cleared,side_clearance_met,extreme_active,stable_streak,post_lap_corner_seen,arduino_reply
0.0000,0,right,WALL_FOLLOW,600,none,none,IDLE,,,,54,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.0724,1,right,WALL_FOLLOW,600,none,none,IDLE,,,,68,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.1229,2,right,WALL_FOLLOW,600,none,none,IDLE,,,,69,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.1669,3,right,WALL_FOLLOW,600,none,none,IDLE,,,,69,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.2119,4,right,WALL_FOLLOW,600,none,none,IDLE,,,,65,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.2589,5,right,WALL_FOLLOW,600,none,none,IDLE,,,,71,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3049,6,right,WALL_FOLLOW,600,none,none,IDLE,,,,64,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3491,7,right,WALL_FOLLOW,600,none,none,IDLE,,,,70,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3959,8,right,WALL_FOLLOW,600,none,none,IDLE,,,,60,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.4431,9,right,WALL_FOLLOW,600,none,none,IDLE,,,,77,73,73,0,0,0,0,0,0,0,0,0,0,0,0,
0.4871,10,right,WALL_FOLLOW,600,none,none,IDLE,,,,70,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.5339,11,right,WALL_FOLLOW,600,none,none,IDLE,,,,71,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.5789,12,right,WALL_FOLLOW,600,none,none,IDLE,,,,69,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.6249,13,right,WALL_FOLLOW,600,none,none,IDLE,,,,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.6709,14,right,WALL_FOLLOW,600,none,none,IDLE,,,,77,73,73,0,0,0,0,0,0,0,0,0,0,0,0,
0.7170,15,right,WALL_FOLLOW,600,none,none,IDLE,,,,77,73,73,0,0,0,0,0,0,0,0,0,0,0,0,
0.7640,16,right,WALL_FOLLOW,600,none,none,IDLE,,,,73,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.8121,17,right,WALL_FOLLOW,600,red,none,IDLE,563.1923217773438,38.0384635925293,65.18,58,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.8570,18,right,WALL_FOLLOW,600,none,none,IDLE,,,,69,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
